Municipality;Latitude;Longitude
Agia Paraskevi;38.012630;23.820550
Agios Dimitrios;37.936670;23.733200
Alimos;37.913680;23.715060
Marousi;38.054570;23.807500
Chalandri;38.021530;23.798270
Dafni-Ymittos;37.950140;23.734320
Elliniko-Argyroupoli;37.911070;23.749140
Filothei-Psychiko;38.012420;23.772500
Galatsi;38.012620;23.753180
Glyfada;37.862820;23.753440
Ilioupoli;37.931910;23.757250
Irakleio;38.048110;23.767800
Kessariani;37.968318;23.763790
Kallithea;37.955521;23.702030
Kifisia;38.072810;23.811930
Lykovrysi-Pefki;38.058970;23.791150
Metamorfosi;38.063229;23.760931
Nea Ionia;39.3729263;22.9340436
Nea Smyrni;37.944288;23.711756
Palaio Faliro;37.925369;23.700654
Papagou-Cholargos;37.992266;23.804931
Penteli;38.04763;23.869628
Vari-Voula-Vouliagmeni;37.821658;23.775413
Vrilissia;38.032979;23.831904
Vyronas;37.959333;23.751301
Zografos;37.974215;23.784107
